127.0.0.1 - - [22/Sep/2020:20:09:54 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:09:55 +0700] "GET /test1/bangcuuchuong.jsp HTTP/1.1" 200 10566
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:09:55 +0700] "GET /test1/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:09:55 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:10:01 +0700] "GET /test1/bangcuuchuong.jsp HTTP/1.1" 200 10566
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:12:14 +0700] "GET /test1/bangcuuchuong.jsp HTTP/1.1" 200 10566
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:12:16 +0700] "GET /test1/bangcuuchuong.jsp HTTP/1.1" 200 10566
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:12:25 +0700] "GET /test1/bangcuuchuong.jsp HTTP/1.1" 200 10566
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:12:32 +0700] "GET /test1/bangcuuchuong.jsp HTTP/1.1" 200 10566
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:12:42 +0700] "GET /test1/css/style.css HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:12:45 +0700] "GET /test1/bangcuuchuong.jsp HTTP/1.1" 200 10566
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:12:47 +0700] "GET /test1/bangcuuchuong.jsp HTTP/1.1" 200 10566
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:12:51 +0700] "GET /test1/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:12:53 +0700] "GET /test1/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:12:56 +0700] "GET /test1/bangcuuchuong.jsp HTTP/1.1" 200 10566
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:12:58 +0700] "GET /test1/bangcuuchuong.jsp HTTP/1.1" 200 10566
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:13:03 +0700] "GET /test1/bangcuuchuong.jsp HTTP/1.1" 200 10566
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:13:06 +0700] "GET /test1/bangcuuchuong.jsp HTTP/1.1" 200 10566
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:13:11 +0700] "GET /test1/bangcuuchuong.jsp HTTP/1.1" 200 10566
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:13:11 +0700] "GET /test1/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:13:49 +0700] "GET /test1/mail.jsp HTTP/1.1" 200 5032
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:13:49 +0700] "GET /test1/css/mail.css HTTP/1.1" 200 2310
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:14:01 +0700] "GET /test1/mail.jsp HTTP/1.1" 200 5032
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:14:10 +0700] "GET /test1/mail.jsp HTTP/1.1" 200 5032
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:17:42 +0700] "GET /test1/mail.jsp HTTP/1.1" 200 5020
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:17:51 +0700] "GET /test1/mail.jsp HTTP/1.1" 200 5020
0:0:0:0:0:0:0:1 - - [22/Sep/2020:20:17:53 +0700] "GET /test1/mail.jsp HTTP/1.1" 200 5020
