127.0.0.1 - - [14/Oct/2020:21:40:48 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:40:50 +0700] "GET /test1/index.jsp HTTP/1.1" 200 17084
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:40:50 +0700] "GET /test1/css/minhkhai_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:40:51 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:41:01 +0700] "GET /test1/index.jsp?type=Loai1 HTTP/1.1" 200 9406
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:41:02 +0700] "GET /test1/index.jsp?type=Loai2 HTTP/1.1" 200 8439
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:41:02 +0700] "GET /test1/index.jsp?type=Loai3 HTTP/1.1" 200 8425
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:41:03 +0700] "GET /test1/index.jsp?type=Loai1 HTTP/1.1" 200 9406
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:41:04 +0700] "GET /test1/cart.jsp?id=s1&action=add&tensach=T%E1%BB%AB%20Ng%E1%BB%AF%20H%C3%A1n%20Vi%E1%BB%87t&gia=60000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:41:06 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:41:08 +0700] "GET /test1/cart.jsp?id=s1&action=add&tensach=T%C3%A2y%20Du%20K%C3%AD&gia=60000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:41:08 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:44:21 +0700] "GET /test1/index.jsp HTTP/1.1" 200 17084
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:44:24 +0700] "GET /test1/cart.jsp?id=s1&action=add&tensach=T%E1%BB%AB%20Ng%E1%BB%AF%20H%C3%A1n%20Vi%E1%BB%87t&gia=60000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:44:24 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:45:14 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:45:15 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:45:45 +0700] "GET /test1/index.jsp?type=Loai3 HTTP/1.1" 200 8425
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:45:48 +0700] "GET /test1/cart.jsp?id=s9&action=add&tensach=L%E1%BA%ADp%20Tr%C3%ACnh%20C&gia=20000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:45:48 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 1731
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:45:50 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 1731
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:46:25 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 2130
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:46:43 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:47:35 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:48:14 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 1037
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:49:17 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:49:33 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:50:23 +0700] "GET /test1/cart.jsp?id=s9&action=add&tensach=L%E1%BA%ADp%20Tr%C3%ACnh%20C&gia=20000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:50:23 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:50:29 +0700] "GET /test1/cart.jsp?id=s10&action=add&tensach=Photoshop&gia=500000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:50:29 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:50:37 +0700] "GET /test1/cart.jsp?id=s9&action=add&tensach=L%E1%BA%ADp%20Tr%C3%ACnh%20C&gia=20000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:21:50:37 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 1182
